generation,seed_1,seed_2,seed_3,seed_4,seed_5
242,43.5719,43.6177,43.474,43.7407,43.5219
243,43.5719,43.6177,43.474,43.7407,43.5219
244,43.5719,43.5698,43.474,43.7407,43.5219
245,43.5719,43.5698,43.474,43.7407,43.5219
246,43.5719,43.5698,43.474,43.7407,43.5219
247,43.5719,43.5698,43.474,43.7407,43.5219
248,43.5719,43.5219,43.474,43.7407,43.5219
249,43.5719,43.5219,43.474,43.7407,43.5219
250,43.5719,43.5219,43.474,43.7407,43.5219
251,43.524,43.5219,43.474,43.7407,43.5219
252,43.524,43.5219,43.474,43.6927,43.5219
253,43.499,43.5219,43.474,43.6927,43.5219
254,43.499,43.5219,43.474,43.6927,43.5219
255,43.499,43.5219,43.474,43.6927,43.5219
256,43.499,43.5219,43.474,43.6927,43.5219
257,43.499,43.5219,43.474,43.6448,43.5219
258,43.499,43.5219,43.474,43.6177,43.5219
259,43.499,43.5219,43.474,43.6177,43.5219
260,43.499,43.5219,43.474,43.5698,43.5219
261,43.474,43.5219,43.474,43.5698,43.474
262,43.474,43.5219,43.474,43.5698,43.474
263,43.474,43.5219,43.474,43.5698,43.474
264,43.474,43.5219,43.474,43.5698,43.474
265,43.474,43.5219,43.474,43.5698,43.474
266,43.474,43.5219,43.474,43.5698,43.474
267,43.474,43.5219,43.474,43.5698,43.474
268,43.474,43.5219,43.474,43.5698,43.474
269,43.474,43.5219,43.474,43.5698,43.474
270,43.474,43.5219,43.474,43.5698,43.474
271,43.474,43.5219,43.474,43.5698,43.474
272,43.474,43.5219,43.474,43.5698,43.474
273,43.474,43.5219,43.474,43.5698,43.474
274,43.474,43.5219,43.474,43.5698,43.474
275,43.474,43.5219,43.474,43.5698,43.474
276,43.474,43.5219,43.474,43.5698,43.474
277,43.474,43.5219,43.474,43.5698,43.474
278,43.474,43.499,43.474,43.5698,43.474
279,43.474,43.499,43.474,43.5698,43.474
280,43.474,43.499,43.474,43.5698,43.474
281,43.474,43.499,43.474,43.5698,43.474
282,43.474,43.474,43.474,43.5219,43.474
283,43.474,43.474,43.474,43.5219,43.474
284,43.474,43.474,43.474,43.5219,43.474
285,43.474,43.474,43.474,43.5219,43.474
286,43.474,43.474,43.474,43.5219,43.474
287,43.474,43.474,43.474,43.5219,43.474
288,43.474,43.474,43.474,43.5219,43.474
289,43.474,43.474,43.474,43.499,43.474
290,43.474,43.474,43.474,43.499,43.474
291,43.474,43.474,43.474,43.499,43.474
292,43.474,43.474,43.474,43.499,43.474
293,43.474,43.474,43.474,43.474,43.474
294,43.474,43.474,43.474,43.474,43.474
295,43.474,43.474,43.474,43.474,43.474
296,43.474,43.474,43.474,43.474,43.474
297,43.474,43.474,43.474,43.474,43.474
298,43.474,43.474,43.474,43.474,43.474
299,43.474,43.474,43.474,43.474,43.474
300,43.474,43.474,43.474,43.474,43.474
301,43.474,43.474,43.474,43.474,43.474
302,43.474,43.474,43.474,43.474,43.474
303,43.474,43.474,43.474,43.474,43.474
304,43.474,43.474,43.474,43.474,43.474
305,43.474,43.474,43.474,43.474,43.474
306,43.474,43.474,43.474,43.474,43.474
307,43.474,43.474,43.474,43.474,43.474
308,43.474,43.474,43.474,43.474,43.474
309,43.474,43.474,43.474,43.474,43.474
310,43.474,43.474,43.474,43.474,43.474
311,43.474,43.474,43.474,43.474,43.474
312,43.474,43.474,43.474,43.474,43.474
313,43.474,43.474,43.474,43.474,43.474
314,43.474,43.474,43.474,43.474,43.474
315,43.474,43.474,43.474,43.474,43.474
316,43.474,43.474,43.474,43.474,43.474
317,43.474,43.474,43.474,43.474,43.474
318,43.474,43.474,43.474,43.474,43.474
319,43.474,43.474,43.474,43.474,43.474
320,43.474,43.474,43.474,43.474,43.474
321,43.474,43.474,43.474,43.474,43.474
322,43.474,43.474,43.474,43.474,43.474
323,43.474,43.474,43.474,43.474,43.474
324,43.474,43.474,43.474,43.474,43.474
325,43.474,43.474,43.474,43.474,43.474
326,43.474,43.474,43.474,43.474,43.474
327,43.474,43.474,43.474,43.474,43.474
328,43.474,43.474,43.474,43.474,43.474
329,43.474,43.474,43.474,43.474,43.474
330,43.474,43.474,43.474,43.474,43.474
331,43.474,43.474,43.474,43.474,43.474
332,43.474,43.474,43.474,43.474,43.474
333,43.474,43.474,43.474,43.474,43.474
334,43.474,43.474,43.474,43.474,43.474
335,43.474,43.474,43.474,43.474,43.474
336,43.474,43.474,43.474,43.474,43.474
337,43.474,43.474,43.474,43.474,43.474
338,43.474,43.474,43.474,43.474,43.474
339,43.474,43.474,43.474,43.474,43.474
340,43.474,43.474,43.474,43.474,43.474
341,43.474,43.474,43.474,43.474,43.474
342,43.474,43.474,43.474,43.474,43.474
343,43.474,43.474,43.474,43.474,43.474
344,43.474,43.474,43.474,43.474,43.474
345,43.474,43.474,43.474,43.474,43.474
346,43.474,43.474,43.474,43.474,43.474
347,43.474,43.474,43.474,43.474,43.474
348,43.474,43.474,43.474,43.474,43.474
349,43.474,43.474,43.474,43.474,43.474
350,43.474,43.474,43.474,43.474,43.474
351,43.474,43.474,43.474,43.474,43.474
352,43.474,43.474,43.474,43.474,43.474
353,43.474,43.474,43.474,43.474,43.474
354,43.474,43.474,43.474,43.474,43.474
355,43.474,43.474,43.474,43.474,43.474
356,43.474,43.474,43.474,43.474,43.474
357,43.474,43.474,43.474,43.474,43.474
358,43.474,43.474,43.474,43.474,43.474
359,43.474,43.474,43.474,43.474,43.474
360,43.474,43.474,43.474,43.474,43.474
361,43.474,43.474,43.474,43.474,43.474
362,43.474,43.474,43.474,43.474,43.474
363,43.474,43.474,43.474,43.474,43.474
364,43.474,43.474,43.474,43.474,43.474
365,43.474,43.474,43.474,43.474,43.474
366,43.474,43.474,43.474,43.474,43.474
367,43.474,43.474,43.474,43.474,43.474
368,43.474,43.474,43.474,43.474,43.474
369,43.474,43.474,43.474,43.474,43.474
370,43.474,43.474,43.474,43.474,43.474
371,43.474,43.474,43.474,43.474,43.474
372,43.474,43.474,43.474,43.474,43.474
373,43.474,43.474,43.474,43.474,43.474
374,43.474,43.474,43.474,43.474,43.474
375,43.474,43.474,43.474,43.474,43.474
376,43.474,43.474,43.474,43.474,43.474
377,43.474,43.474,43.474,43.474,43.474
378,43.474,43.474,43.474,43.474,43.474
379,43.474,43.474,43.474,43.474,43.474
380,43.474,43.474,43.474,43.474,43.474
381,43.474,43.474,43.474,43.474,43.474
382,43.474,43.474,43.474,43.474,43.474
383,43.474,43.474,43.474,43.474,43.474
384,43.474,43.474,43.474,43.474,43.474
385,43.474,43.474,43.474,43.474,43.474
386,43.474,43.474,43.474,43.474,43.474
387,43.474,43.474,43.474,43.474,43.474
388,43.474,43.474,43.474,43.474,43.474
389,43.474,43.474,43.474,43.474,43.474
390,43.474,43.474,43.474,43.474,43.474
391,43.474,43.474,43.474,43.474,43.474
392,43.474,43.474,43.474,43.474,43.474
393,43.474,43.474,43.474,43.474,43.474
394,43.474,43.474,43.474,43.474,43.474
395,43.474,43.474,43.474,43.474,43.474
396,43.474,43.474,43.474,43.474,43.474
397,43.474,43.474,43.474,43.474,43.474
398,43.474,43.474,43.474,43.474,43.474
399,43.474,43.474,43.474,43.474,43.474
400,43.474,43.474,43.474,43.474,43.474
401,43.474,43.474,43.474,43.474,43.474
402,43.474,43.474,43.474,43.474,43.474
403,43.474,43.474,43.474,43.474,43.474
404,43.474,43.474,43.474,43.474,43.474
405,43.474,43.474,43.474,43.474,43.474
406,43.474,43.474,43.474,43.474,43.474
407,43.474,43.474,43.474,43.474,43.474
408,43.474,43.474,43.474,43.474,43.474
409,43.474,43.474,43.474,43.474,43.474
410,43.474,43.474,43.474,43.474,43.474
411,43.474,43.474,43.474,43.474,43.474
412,43.474,43.474,43.474,43.474,43.474
413,43.474,43.474,43.474,43.474,43.474
414,43.474,43.474,43.474,43.474,43.474
415,43.474,43.474,43.474,43.474,43.474
416,43.474,43.474,43.474,43.474,43.474
417,43.474,43.474,43.474,43.474,43.474
418,43.474,43.474,43.474,43.474,43.474
419,43.474,43.474,43.474,43.474,43.474
420,43.474,43.474,43.474,43.474,43.474
421,43.474,43.474,43.474,43.474,43.474
422,43.474,43.474,43.474,43.474,43.474
423,43.474,43.474,43.474,43.474,43.474
424,43.474,43.474,43.474,43.474,43.474
425,43.474,43.474,43.474,43.474,43.474
426,43.474,43.474,43.474,43.474,43.474
427,43.474,43.474,43.474,43.474,43.474
428,43.474,43.474,43.474,43.474,43.474
429,43.474,43.474,43.474,43.474,43.474
430,43.474,43.474,43.474,43.474,43.474
431,43.474,43.474,43.474,43.474,43.474
432,43.474,43.474,43.474,43.474,43.474
433,43.474,43.474,43.474,43.474,43.474
434,43.474,43.474,43.474,43.474,43.474
435,43.474,43.474,43.474,43.474,43.474
436,43.474,43.474,43.474,43.474,43.474
437,43.474,43.474,43.474,43.474,43.474
438,43.474,43.474,43.474,43.474,43.474
439,43.474,43.474,43.474,43.474,43.474
440,43.474,43.474,43.474,43.474,43.474
441,43.474,43.474,43.474,43.474,43.474
442,43.474,43.474,43.474,43.474,43.474
443,43.474,43.474,43.474,43.474,43.474
444,43.474,43.474,43.474,43.474,43.474
445,43.474,43.474,43.474,43.474,43.474
446,43.474,43.474,43.474,43.474,43.474
447,43.474,43.474,43.474,43.474,43.474
448,43.474,43.474,43.474,43.474,43.474
449,43.474,43.474,43.474,43.474,43.474
450,43.474,43.474,43.474,43.474,43.474
451,43.474,43.474,43.474,43.474,43.474
452,43.474,43.474,43.474,43.474,43.474
453,43.474,43.474,43.474,43.474,43.474
454,43.474,43.474,43.474,43.474,43.474
455,43.474,43.474,43.474,43.474,43.474
456,43.474,43.474,43.474,43.474,43.474
457,43.474,43.474,43.474,43.474,43.474
458,43.474,43.474,43.474,43.474,43.474
459,43.474,43.474,43.474,43.474,43.474
460,43.474,43.474,43.474,43.474,43.474
461,43.474,43.474,43.474,43.474,43.474
462,43.474,43.474,43.474,43.474,43.474
463,43.474,43.474,43.474,43.474,43.474
464,43.474,43.474,43.474,43.474,43.474
465,43.474,43.474,43.474,43.474,43.474
466,43.474,43.474,43.474,43.474,43.474
467,43.474,43.474,43.474,43.474,43.474
468,43.474,43.474,43.474,43.474,43.474
469,43.474,43.474,43.474,43.474,43.474
470,43.474,43.474,43.474,43.474,43.474
471,43.474,43.474,43.474,43.474,43.474
472,43.474,43.474,43.474,43.474,43.474
473,43.474,43.474,43.474,43.474,43.474
474,43.474,43.474,43.474,43.474,43.474
475,43.474,43.474,43.474,43.474,43.474
476,43.474,43.474,43.474,43.474,43.474
477,43.474,43.474,43.474,43.474,43.474
478,43.474,43.474,43.474,43.474,43.474
479,43.474,43.474,43.474,43.474,43.474
480,43.474,43.474,43.474,43.474,43.474
481,43.474,43.474,43.474,43.474,43.474
482,43.474,43.474,43.474,43.474,43.474
483,43.474,43.474,43.474,43.474,43.474
484,43.474,43.474,43.474,43.474,43.474
485,43.474,43.474,43.474,43.474,43.474
486,43.474,43.474,43.474,43.474,43.474
487,43.474,43.474,43.474,43.474,43.474
488,43.474,43.474,43.474,43.474,43.474
489,43.474,43.474,43.474,43.474,43.474
490,43.474,43.474,43.474,43.474,43.474
491,43.474,43.474,43.474,43.474,43.474
492,43.474,43.474,43.474,43.474,43.474
493,43.474,43.474,43.474,43.474,43.474
494,43.474,43.474,43.474,43.474,43.474
495,43.474,43.474,43.474,43.474,43.474
496,43.474,43.474,43.474,43.474,43.474
497,43.474,43.474,43.474,43.474,43.474
498,43.474,43.474,43.474,43.474,43.474
499,43.474,43.474,43.474,43.474,43.474
500,43.474,43.474,43.474,43.474,43.474
