run,run_tardiness_Z,cumulative_mean_Z
403,25.314,22.4413
404,19.093,22.4331
405,29.625,22.4508
406,15.72,22.4342
407,22.305,22.4339
408,31.238,22.4555
409,25.163,22.4621
410,31.006,22.483
411,24.786,22.4886
412,31.005,22.5092
413,21.24,22.5062
414,26.104,22.5149
415,34.468,22.5437
416,11.19,22.5164
417,20.738,22.5121
418,25.3,22.5188
419,10.061,22.489
420,13.91,22.4686
421,38.253,22.5061
422,18.423,22.4964
423,19.403,22.4891
424,18.227,22.4791
425,31.722,22.5008
426,34.238,22.5284
427,31.555,22.5495
428,13.116,22.5275
429,18.087,22.5171
430,20.045,22.5114
431,22.273,22.5108
432,25.517,22.5178
433,22.286,22.5172
434,17.811,22.5064
435,12.425,22.4832
436,28.845,22.4978
437,16.706,22.4845
438,36.955,22.5176
439,37.868,22.5526
440,22.166,22.5517
441,9.522,22.5221
442,15.713,22.5067
443,31.245,22.5264
444,25.297,22.5327
445,46.314,22.5861
446,25.691,22.5931
447,28.785,22.6069
448,20.673,22.6026
449,31.539,22.6225
450,21.245,22.6195
451,26.93,22.629
452,31.416,22.6485
453,20.857,22.6445
454,27.01,22.6541
455,16.15,22.6398
456,24.055,22.6429
457,26.236,22.6508
458,8.093,22.619
459,18.113,22.6092
460,31.997,22.6296
461,34.46,22.6553
462,13.24,22.6349
463,26.636,22.6435
464,24.678,22.6479
465,16.865,22.6355
466,15.878,22.621
467,31.645,22.6403
468,20.431,22.6356
469,32.245,22.6561
470,32.748,22.6775
471,20.358,22.6726
472,13.073,22.6523
473,14.061,22.6341
474,46.53,22.6845
475,25.207,22.6898
476,24.309,22.6932
477,31.284,22.7112
478,18.505,22.7024
479,13.582,22.6834
480,15.949,22.6694
481,29.556,22.6837
482,24.075,22.6866
483,37.85,22.718
484,25.768,22.7243
485,14.134,22.7066
486,32.893,22.7275
487,16.097,22.7139
488,13.666,22.6954
489,33.312,22.7171
490,21.232,22.7141
491,37.478,22.7441
492,24.964,22.7486
493,29.922,22.7632
494,14.916,22.7473
495,31.054,22.7641
496,9.781,22.7379
497,28.382,22.7493
498,25.754,22.7553
499,22.613,22.755
500,21.48,22.7525
