run,k_stoppages,timing_band,first_start_day,passive_tardiness,model1_tardiness,model2_tardiness
896,5,middle,70.5,10.54,10.54,8.33
897,5,middle,46.9,15.71,15.71,12.406
898,5,middle,41.8,19.45,19.45,15.835
899,5,middle,76.6,8.71,8.71,6.356
900,5,middle,53.4,12.89,12.89,9.442
901,5,middle,67.0,9.86,9.86,7.673
902,5,middle,50.2,13.32,13.32,10.087
903,5,middle,37.8,14.0,14.0,9.387
904,5,middle,46.9,13.06,13.06,9.708
905,5,middle,63.4,18.64,18.64,16.453
906,5,middle,43.5,16.06,16.06,12.779
907,5,middle,88.9,8.82,8.82,7.726
908,5,middle,67.3,10.54,10.54,8.067
909,5,middle,50.4,11.27,11.27,7.751
910,5,middle,57.3,15.27,15.27,11.989
911,5,middle,87.7,4.91,4.91,4.164
912,5,middle,69.0,12.89,12.89,10.007
913,5,middle,39.0,18.22,18.22,13.941
914,5,middle,64.4,11.4,11.4,8.95
915,5,middle,86.1,8.72,8.72,7.46
916,5,middle,57.0,9.94,9.94,7.118
917,5,middle,34.9,28.93,28.93,24.807
918,5,middle,89.4,10.48,10.48,9.172
919,5,middle,63.6,13.85,13.85,11.592
920,5,middle,47.6,10.63,10.63,7.422
921,5,middle,61.1,10.68,10.68,8.159
922,5,middle,69.8,13.25,13.25,11.062
923,5,middle,51.8,14.45,14.45,11.169
924,5,middle,31.1,16.5,16.5,11.575
925,5,middle,81.9,10.0,10.0,8.906
926,5,middle,61.1,9.91,9.91,7.389
927,5,middle,62.7,12.51,12.51,10.322
928,5,middle,62.7,10.88,10.88,8.693
929,5,middle,34.8,19.19,19.19,14.815
930,5,middle,45.7,13.98,13.98,10.699
931,5,middle,73.6,18.19,18.19,16.003
932,5,middle,33.2,16.14,16.14,12.102
933,5,middle,56.8,15.03,15.03,11.845
934,5,middle,58.2,11.77,11.77,8.933
935,5,late,97.7,7.07,7.07,5.905
936,5,late,95.6,6.8,6.8,5.706
937,5,late,107.9,5.55,5.55,5.55
938,5,late,107.9,7.47,7.47,7.47
939,5,late,112.8,5.0,5.0,5.0
940,5,late,99.1,3.97,3.97,3.637
941,5,late,99.8,5.32,5.32,4.987
942,5,late,101.3,4.5,4.5,4.5
943,5,late,97.6,5.36,5.36,4.506
944,5,late,116.7,0.0,0.0,0.0
945,5,late,95.0,8.96,8.96,7.866
946,5,late,115.0,4.21,4.21,4.21
947,5,late,107.8,5.53,5.53,5.53
948,5,late,112.0,5.97,5.97,5.97
949,5,late,102.6,3.63,3.63,3.63
950,5,late,101.7,4.92,4.92,4.92
951,5,late,107.8,2.81,2.81,2.81
952,5,late,102.0,4.4,4.4,4.4
953,5,late,107.1,4.26,4.26,4.26
954,5,late,94.0,7.46,7.46,6.775
955,5,late,97.3,9.94,9.94,9.038
956,5,late,108.5,5.9,5.9,5.9
957,5,late,107.0,4.38,4.38,4.38
958,5,late,114.6,2.25,2.25,2.25
959,5,late,102.9,6.87,6.87,6.87
960,5,late,115.9,0.0,0.0,0.0
961,5,late,104.1,3.71,3.71,3.71
962,5,late,104.1,3.76,3.76,3.76
963,5,late,102.2,5.92,5.92,5.92
964,5,late,97.2,5.82,5.82,4.918
965,5,late,92.3,10.85,10.85,9.756
966,5,late,109.8,4.67,4.67,4.67
967,5,late,94.8,6.69,6.69,5.286
968,5,late,96.3,4.75,4.75,3.704
969,5,late,111.1,4.34,4.34,4.34
970,5,late,108.8,3.26,3.26,3.26
971,5,late,112.7,4.66,4.66,4.66
972,5,late,112.5,3.52,3.52,3.52
973,5,late,91.3,6.91,6.91,5.816
974,5,late,96.1,6.64,6.64,5.284
975,5,late,112.1,3.89,3.89,3.89
