run,k_shortages,timing_band,first_start_day,shortage_types,passive_tardiness,model1_tardiness,model2_tardiness,passive_makespan,model1_makespan,model2_makespan
446,3,early,28.7,C|C|A,9.33,2.967,2.967,119.636,117.456,117.456
447,3,early,4.4,B|A|C,7.57,1.3,1.3,120.717,118.756,118.756
448,3,early,22.3,B|C|A,9.75,1.854,1.55,119.406,117.456,117.19
449,3,early,7.6,C|B|B,5.7,1.113,0.81,118.546,117.456,117.245
450,3,early,11.5,C|B|A,5.76,1.113,1.113,118.416,117.456,117.456
451,3,early,19.3,A|A|C,6.145,1.35,1.35,118.806,118.806,118.806
452,3,early,22.3,B|A|C,5.99,1.854,1.66,119.116,117.456,117.3
453,3,early,5.6,C|C|C,11.202,3.337,3.337,119.927,117.456,117.456
454,3,early,41.5,B|C|C,7.12,0.99,0.99,119.236,118.446,118.446
455,3,early,24.8,C|B|C,5.86,0.742,0.742,119.516,117.456,117.456
456,3,early,41.5,B|B|C,4.4,1.113,0.94,118.656,117.456,117.375
457,3,early,22.3,B|B|C,5.6,0,0,119.296,117.456,117.456
458,3,early,22.3,B|C|B,8.64,2.225,1.95,119.406,117.456,117.273
459,3,early,19.3,A|B|C,4.46,1.22,1.22,118.676,118.676,118.676
460,3,early,30.7,C|B|C,6.08,1.113,1.113,118.966,117.456,117.456
461,3,early,19.3,A|B|C,6.3,1.483,1.483,118.716,117.456,117.456
462,3,early,22.3,B|C|C,5.42,1.54,1.54,118.996,118.996,118.996
463,3,early,11.5,C|C|C,6.398,4.04,4.04,120.755,120.755,120.755
464,3,early,38.5,A|C|C,4.76,1.732,1.732,118.646,118.446,118.446
465,3,early,5.6,C|C|C,21.482,5.327,5.205,121.037,117.456,117.425
466,3,early,38.5,A|B|C,9.101,0.371,0.35,119.767,117.456,117.425
467,3,early,5.6,C|C|C,16.841,6.304,1.839,122.277,117.456,117.383
468,3,middle,63.2,C|B|C,6.321,2.225,0.84,120.197,117.456,117.275
469,3,middle,69,C|C|C,3.19,2.492,2.492,119.206,119.206,119.206
470,3,middle,82.3,C|C|C,3.84,2.225,1.92,119.376,117.456,117.039
471,3,middle,79.8,B|B|B,2.78,0,0,119.396,117.456,117.456
472,3,middle,47.9,C|C|A,11.722,2.967,2.93,120.387,117.456,117.297
